state,Year,Arriavls,Percentage,,
New South Wales,2024-7,234450,35.58257069,,
Victoria,2024-7,161390,24.49422514,,
Queensland,2024-7,171360,26.00737604,,
South Australia,2024-7,15820,2.401007755,,
Western Australia,2024-7,56420,8.562886066,,658970
Tasmania,2024-7,3900,0.591904567,,
Northern Territory,2024-7,6740,1.022932508,,
Australian Capital Territory,2024-7,8810,1.337097239,,
New South Wales,2024-8,240840,36.55793197,,
Victoria,2024-8,153480,23.29725709,,
Queensland,2024-8,164980,25.04288165,,
South Australia,2024-8,17490,2.654867257,,
Western Australia,2024-8,63790,9.682903505,,
Tasmania,2024-8,4550,0.69066015,,
Northern Territory,2024-8,5050,0.766556869,,
Australian Capital Territory,2024-8,8610,1.306941514,,
New South Wales,2024-9,305990,29.97462849,,
Victoria,2024-9,286750,28.08988764,,
Queensland,2024-9,212140,20.78112908,,
South Australia,2024-9,46670,4.57177003,,
Western Australia,2024-9,134690,13.19416553,,
Tasmania,2024-9,9750,0.95510516,,
Northern Territory,2024-9,6080,0.595593782,,
Australian Capital Territory,2024-9,18760,1.837720286,,
New South Wales,2024-10,255470,37.7155427,,
Victoria,2024-10,166600,24.59548837,,
Queensland,2024-10,148340,21.89972836,,
South Australia,2024-10,16700,2.465454116,,
Western Australia,2024-10,74020,10.92771938,,
Tasmania,2024-10,5640,0.832644384,,
Northern Territory,2024-10,3940,0.581670013,,
Australian Capital Territory,2024-10,6650,0.981752687,,
New South Wales,2024-11,252012,37.71878096,,
Victoria,2024-11,166423,24.90862611,,
Queensland,2024-11,142648,21.35020819,,
South Australia,2024-11,16302,2.439929715,,
Western Australia,2024-11,74720,11.18338537,,
Tasmania,2024-11,5434,0.813309905,,
Northern Territory,2024-11,3939,0.589552395,,
Australian Capital Territory,2024-11,6656,0.996207348,,
New South Wales,2024-12,358290,37.90626322,,
Victoria,2024-12,258030,27.29898434,,
Queensland,2024-12,176290,18.65107914,,
South Australia,2024-12,28540,3.01946678,,
Western Australia,2024-12,97540,10.3195091,,
Tasmania,2024-12,12400,1.311891663,,
Northern Territory,2024-12,3870,0.409437156,,
Australian Capital Territory,2024-12,10240,1.083368599,,
New South Wales,2025-1,272580,38.3915493,,
Victoria,2025-1,204090,28.74507042,,
Queensland,2025-1,126180,17.77183099,,
South Australia,2025-1,21200,2.985915493,,
Western Australia,2025-1,67670,9.530985915,,
Tasmania,2025-1,8960,1.261971831,,
Northern Territory,2025-1,2580,0.363380282,,
Australian Capital Territory,2025-1,6740,0.949295775,,
New South Wales,2025-2,319280,40.53319792,,
Victoria,2025-2,209460,26.59134188,,
Queensland,2025-2,134150,17.0305954,,
South Australia,2025-2,25380,3.222038847,,
Western Australia,2025-2,74760,9.49092294,,
Tasmania,2025-2,9670,1.22762473,,
Northern Territory,2025-2,2910,0.369429986,,
Australian Capital Territory,2025-2,12090,1.534848292,,
New South Wales,2025-3,286400,37.62628585,,
Victoria,2025-3,212550,27.92411682,,
Queensland,2025-3,133990,17.60316355,,
South Australia,2025-3,24250,3.185884888,,
Western Australia,2025-3,81900,10.75975144,,
Tasmania,2025-3,9540,1.253333684,,
Northern Territory,2025-3,4490,0.589881367,,
Australian Capital Territory,2025-3,8050,1.057582406,,
New South Wales,2025-4,235560,36.74424409,,
Victoria,2025-4,169350,26.41635989,,
Queensland,2025-4,131390,20.49510202,,
South Australia,2025-4,19860,3.097897298,,
Western Australia,2025-4,68340,10.66013602,,
Tasmania,2025-4,5310,0.828289761,,
Northern Territory,2025-4,3970,0.619267486,,
Australian Capital Territory,2025-4,7300,1.138703438,,
New South Wales,2025-5,227360,37.20138753,,
Victoria,2025-5,151600,24.8052883,,
Queensland,2025-5,129320,21.15976176,,
South Australia,2025-5,18610,3.045029125,,
Western Australia,2025-5,67990,11.12474638,,
Tasmania,2025-5,5320,0.870475816,,
Northern Territory,2025-5,4840,0.791936645,,
Australian Capital Territory,2025-5,6120,1.001374435,,
New South Wales,2025-6,217640,34.85139636,,
Victoria,2025-6,152730,24.45714835,,
Queensland,2025-6,148830,23.83262875,,
South Australia,2025-6,15680,2.51088906,,
Western Australia,2025-6,70570,11.3006021,,
Tasmania,2025-6,4990,0.799064822,,
Northern Territory,2025-6,7090,1.135344607,,
Australian Capital Territory,2025-6,6950,1.112925954,,
