Month,Arrivals_M
2018-07,0.77
2018-08,0.74
2018-09,0.69
2018-10,0.75
2018-11,0.8
2018-12,1.06
2019-01,0.73
2019-02,0.93
2019-03,0.84
2019-04,0.7
2019-05,0.67
2019-06,0.66
2019-07,0.78
2019-08,0.75
2019-09,0.69
2019-10,0.71
2019-11,0.44
2019-12,0.3
2020-01,0.25
2020-02,0.18
2020-03,0.12
2020-04,0.1
2020-05,0.08
2020-06,0.06
2020-07,0.07
2020-08,0.05
2020-09,0.09
2020-10,0.1
2020-11,0.08
2020-12,0.12
2021-01,0.18
2021-02,0.22
2021-03,0.25
2021-04,0.27
2021-05,0.29
2021-06,0.3
2021-07,0.35
2021-08,0.37
2021-09,0.4
2021-10,0.42
2021-11,0.45
2021-12,0.47
2022-01,0.06
2022-02,0.09
2022-03,0.17
2022-04,0.24
2022-05,0.23
2022-06,0.28
2022-07,0.33
2022-08,0.35
2022-09,0.37
2022-10,0.43
2022-11,0.51
2022-12,0.65
2023-01,0.41
2023-02,0.6
2023-03,0.61
2023-04,0.54
2023-05,0.51
2023-06,0.54
2023-07,0.63
2023-08,0.6
2023-09,0.58
2023-10,0.61
2023-11,0.66
2023-12,0.88
2024-01,0.6
2024-02,0.86
2024-03,0.76
2024-04,0.59
2024-05,0.6
2024-06,0.59
2024-07,0.66
2024-08,0.66
2024-09,0.63
2024-10,0.68
2024-11,0.7
2024-12,0.95
2025-01,0.71
2025-02,0.79
2025-03,0.76
2025-04,0.64
2025-05,0.61
2025-06,0.62
