Country,Visitors,OriginLA,OriginLO,DestLA,DestLO
New Zealand,1391140,172.787,-39.759,134.04972,-24.129522
China,953200,106.337289,32.498178,134.04972,-24.129522
United States of America,714770,-97.482602,39.538479,134.04972,-24.129522
United Kingdom,669390,-2.116346,54.402739,134.04972,-24.129522
India,451090,79.358105,22.686852,134.04972,-24.129522
Malaysia,422680,113.83708,2.528677,134.04972,-24.129522
Japan,397080,138.44217,36.142538,134.04972,-24.129522
South Korea,373540,128.129504,36.384924,134.04972,-24.129522
Indonesia,226650,101.892949,-0.954404,134.04972,-24.129522
Canada,220620,-101.9107,60.324287,134.04972,-24.129522
